ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
6419,83.83008454959115,-5.517839170854047,8.654174639858041,0.19700190455528704,75.85501098632812,yes,yes,yes,no,no,unknown,no,no
6436,52.392788547687914,31.295370207677994,7.3775282348536235,0.1094747219247669,171.4846649169922,yes,yes,yes,no,no,unknown,yes,no
8582,164.60576062977864,-77.24944521207159,2.351198697611633,0.08294373021569001,37.617427825927734,yes,no,no,no,no,unknown,yes,no
8584,55.99867053258268,32.03171473191812,4.75544110361147,0.09655374702517396,96.93608856201172,no,yes,yes,no,yes,unknown,no,no
8585,86.5410136570039,-0.09991095907865206,3.331375617328211,0.23649919848978904,14.930206298828125,no,yes,yes,no,no,unknown,yes,no
4373,83.82608583471068,-5.498259152075942,6.198867773020855,0.03753369297070175,396.07293701171875,yes,no,yes,no,yes,unknown,yes,no
8936,83.77400270568644,-5.565566053561879,5.235296325250953,0.0653031851195677,273.2691955566406,yes,no,yes,no,yes,unknown,yes,no
9915,86.48726410419688,-0.13087763962052187,4.6101420284864645,0.17179325997496048,22.22185707092285,yes,yes,no,no,no,unknown,yes,no
9922,68.45518106357015,17.886099969891276,2.597362289779496,0.17078612075703212,13.06621265411377,yes,no,no,no,no,unknown,yes,no
12392,92.7006631288143,-6.190385880804777,0.9173847245416221,0.08228028896414434,18.008512496948242,yes,no,no,no,no,unknown,yes,no
13426,56.106452536056985,32.104674427327524,2.713097702572666,0.055787121831568365,93.5791244506836,yes,yes,yes,no,no,unknown,yes,no
13427,56.10651423245288,32.20812285762113,4.014734524925801,0.04436978913949869,322.7984313964844,yes,yes,yes,no,no,unknown,yes,no
13429,56.146038209175124,32.258688733659376,6.950002895314762,0.3429591684934236,18.626256942749023,yes,no,yes,no,no,unknown,yes,no
13431,56.08329172258464,32.11255930379103,3.1160183627446534,0.15797347714443472,14.080574035644531,yes,yes,yes,no,no,unknown,yes,no
13433,56.143446102082095,32.106913274705185,2.501419122326888,0.0981282173438891,24.971220016479492,yes,no,yes,no,no,unknown,yes,no
13434,56.20748593766337,32.05925478844488,6.588505950822663,0.3354767219942079,16.872556686401367,yes,yes,yes,no,no,unknown,yes,no
13619,284.157050982806,-37.33268853811088,0.6084870255379217,0.12773338349943072,14.89892864227295,no,no,no,no,no,unknown,yes,no
13625,118.08636552501883,-49.68108527852974,8.20907686316339,0.9566135392177967,9.441888809204102,yes,no,no,no,no,unknown,no,no
13637,83.81420497270045,-5.433203612534265,2.823775953121544,0.04475471564656025,78.83940124511719,yes,no,yes,no,no,unknown,yes,no
14436,289.18574222970085,-16.138246198646872,3.6241534045853663,0.17389822243110897,7.490111827850342,no,no,no,unknown,unknown,unknown,yes,no
14444,289.32473673351075,-16.092157988737153,7.571385698640548,0.4408610551735716,21.278547286987305,yes,no,no,no,no,unknown,yes,no
