ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
20207,275.09146196900366,7.185298010674826,0.1911111935838595,0.007848551977857094,2960.34765625,yes,no,yes,no,no,unknown,no,no
23476,202.47238294875854,47.17855233748865,3.905650798890517,0.18690488062749613,12.791011810302734,unknown,yes,yes,no,yes,unknown,no,yes
23477,202.41450468643563,47.212135348254556,0.4447507595584114,0.07881190946261958,32.14417266845703,no,yes,yes,no,yes,unknown,no,yes
23479,202.51791471073585,47.22236626257858,4.884930352027798,0.25297365475496986,10.969073295593262,no,yes,yes,no,yes,unknown,no,yes
23487,187.6621103839347,41.63609428017402,2.908848351412187,0.1411863610382417,17.575897216796875,no,yes,yes,unknown,unknown,unknown,no,yes
23491,187.64635149991366,41.64650404887515,1.285993381928297,0.15213553774637764,19.34119415283203,no,yes,yes,no,no,unknown,no,yes
731,197.20088544078544,21.451857395738667,7.1684171484513985,0.056514783207481774,677.3624877929688,no,no,yes,no,yes,unknown,no,no
2790,197.04894768056948,21.4960244296151,8.570515025806014,0.7531013471633627,8.156713485717773,yes,yes,no,no,yes,unknown,yes,no
2791,241.26049476689923,33.095798399716514,16.88791820094463,0.2909389967454612,223.34437561035156,yes,no,no,no,no,unknown,no,no
2795,121.59566301695939,15.45860058323044,0.6003223062210975,0.015710385527597025,534.0188598632812,no,yes,no,unknown,unknown,unknown,yes,no
3838,225.7742933839459,-41.68596219208425,17.612237901209994,0.5393129706818298,26.235595703125,no,no,no,no,no,unknown,no,no
4630,114.14232327368194,65.64856657729105,4.885749660015701,0.10367873711362663,99.60533905029297,yes,yes,yes,no,no,unknown,no,yes
4631,308.3430521886488,60.23167057971234,15.264111783213643,0.3672964849336924,121.5759048461914,yes,yes,yes,no,no,unknown,no,no
6661,146.822488211099,31.855842988397296,10.992642880352422,0.0,59.0424919128418,no,no,no,no,no,unknown,no,no
7607,171.8860950147797,56.884886154124246,0.21878030434903306,0.14839764063561975,6.414050102233887,no,no,yes,no,no,unknown,no,no
23474,202.44240469724807,47.17799651472586,3.997785733813698,0.25847565455945704,3.6154730319976807,no,yes,no,no,yes,unknown,no,no
